,Historical Price,Forecast,Lower Confidence,Upper Confidence
2022-10-18,11.9535541243032,,,
2022-10-19,12.0374597436265,,,
2022-10-20,12.1802990717601,,,
2022-10-21,12.4519934581402,,,
2022-10-24,12.5848440220687,,,
2022-10-25,13.2461002124496,,,
2022-10-26,12.8815103189616,,,
2022-10-27,13.1611957167058,,,
2022-10-28,13.8184564014047,,,
2022-10-31,13.4818350476912,,,
2022-11-01,13.5277833630349,,,
2022-11-02,13.204147402788,,,
2022-11-03,13.405920439732,,,
2022-11-04,14.1400946088106,,,
2022-11-07,14.2849316897852,,,
2022-11-08,14.5855934923603,,,
2022-11-09,13.7605215690149,,,
2022-11-10,15.7323036231115,,,
2022-11-11,16.3086553177487,,,
2022-11-14,16.2766912722922,,,
2022-11-15,16.6472744243033,,,
2022-11-16,15.8921238503939,,,
2022-11-17,15.6593856444139,,,
2022-11-18,15.3916867637159,,,
2022-11-21,15.2997901330285,,,
2022-11-22,16.0199800322198,,,
2022-11-23,16.5004395904875,,,
2022-11-24,16.5004395904875,,,
2022-11-25,16.2517193617793,,,
2022-11-28,15.8092171074912,,,
2022-11-29,15.6214283404343,,,
2022-11-30,16.9079811700577,,,
2022-12-01,17.1197930242237,,,
2022-12-02,16.8610228816341,,,
2022-12-05,16.5952589514068,,,
2022-12-06,15.9728118516641,,,
2022-12-07,16.1056938167777,,,
2022-12-08,17.1537628498919,,,
2022-12-09,16.9859119465905,,,
2022-12-12,17.5194380320842,,,
2022-12-13,18.0559614551369,,,
2022-12-14,17.6583146723157,,,
2022-12-15,16.9369554331276,,,
2022-12-16,16.5562935631404,,,
2022-12-19,16.239574894411,,,
2022-12-20,16.0707248785899,,,
2022-12-21,16.4863556867649,,,
2022-12-22,15.3253869389301,,,
2022-12-23,15.1925049738165,,,
2022-12-26,15.1925049738165,,,
2022-12-27,14.1084678899949,,,
2022-12-28,14.0235433258246,,,
2022-12-29,14.5900401244668,,,
2022-12-30,14.601030362183,,,
2023-01-02,14.601030362183,,,
2023-01-03,14.3022957188073,,,
2023-01-04,14.7359105523359,,,
2023-01-05,14.2523400928247,,,
2023-01-06,14.8458129294975,,,
2023-01-09,15.6141304571093,,,
2023-01-10,15.8948810751313,,,
2023-01-11,15.9867994269392,,,
2023-01-12,16.4963468119614,,,
2023-01-13,16.884002469586,,,
2023-01-16,16.884002469586,,,
2023-01-17,17.686289822866,,,
2023-01-18,17.3615782539793,,,
2023-01-19,16.7501213919528,,,
2023-01-20,17.8231682380582,,,
2023-01-23,19.175966589666,,,
2023-01-24,19.2479026910808,,,
2023-01-25,19.3058512172206,,,
2023-01-26,19.7844261141335,,,
2023-01-27,20.3469264626972,,,
2023-01-30,19.1449941015568,,,
2023-01-31,19.519661296426,,,
2023-02-01,20.9244134990556,,,
2023-02-02,21.6897336891084,,,
2023-02-03,21.0812741646408,,,
2023-02-06,21.0702839269247,,,
2023-02-07,22.1533218982266,,,
2023-02-08,22.1852934988554,,,
2023-02-09,22.3171763514494,,,
2023-02-10,21.2461277303833,,,
2023-02-13,21.7686635781609,,,
2023-02-14,22.9506136889083,,,
2023-02-15,22.7437973973405,,,
2023-02-16,21.9824736573662,,,
2023-02-17,21.3690185703004,,,
2023-02-20,21.3690185703004,,,
2023-02-21,20.636669093396,,,
2023-02-22,20.7355812328415,,,
2023-02-23,23.6429986650266,,,
2023-02-24,23.2653341325984,,,
2023-02-27,23.4801433243234,,,
2023-02-28,23.1953962562228,,,
2023-03-01,22.6778559710435,,,
2023-03-02,23.2933092831486,,,
2023-03-03,23.8687980944678,,,
2023-03-06,23.5330962878649,,,
2023-03-07,23.2713288077163,,,
2023-03-08,24.1636895353568,,,
2023-03-09,23.4192228588818,,,
2023-03-10,22.9485600338889,,,
2023-03-13,22.9495593180184,,,
2023-03-14,24.0457740080762,,,
2023-03-15,24.2106558894431,,,
2023-03-16,25.5227159514721,,,
2023-03-17,25.7065842312995,,,
2023-03-20,25.8814589539614,,,
2023-03-21,26.1802449086809,,,
2023-03-22,26.4490523395154,,,
2023-03-23,27.1715347651415,,,
2023-03-24,26.7598297037889,,,
2023-03-27,26.5120072396737,,,
2023-03-28,26.3910938600046,,,
2023-03-29,26.9646829503357,,,
2023-03-30,27.3633973180048,,,
2023-03-31,27.7571152650265,,,
2023-04-03,27.9449806813718,,,
2023-04-04,27.4333472070696,,,
2023-04-05,26.8617566849975,,,
2023-04-06,27.017645009199,,,
2023-04-07,27.017645009199,,,
2023-04-10,27.5592570073861,,,
2023-04-11,27.1495505142925,,,
2023-04-12,26.4760330110119,,,
2023-04-13,26.444055918868,,,
2023-04-14,26.7388447370694,,,
2023-04-17,26.9826700646666,,,
2023-04-18,27.6471940107818,,,
2023-04-19,27.9110050209689,,,
2023-04-20,27.0845970458753,,,
2023-04-21,27.0995863078177,,,
2023-04-24,27.0226414298465,,,
2023-04-25,26.2222148421197,,,
2023-04-26,26.9367029947098,,,
2023-04-27,27.2065097096738,,,
2023-04-28,27.7291353094006,,,
2023-05-01,28.8893041837461,,,
2023-05-02,28.1898052930985,,,
2023-05-03,27.7820973682639,,,
2023-05-04,27.5422691771847,,,
2023-05-05,28.6594688339619,,,
2023-05-08,29.1301316589548,,,
2023-05-09,28.5505468638467,,,
2023-05-10,28.8643220805087,,,
2023-05-11,28.5575418527532,,,
2023-05-12,28.319712229933,,,
2023-05-15,28.9322734013144,,,
2023-05-16,29.1920872749835,,,
2023-05-17,30.1563964599477,,,
2023-05-18,31.6553226541926,,,
2023-05-19,31.241619024581,,,
2023-05-22,31.1536820211853,,,
2023-05-23,30.666031365991,,,
2023-05-24,30.5161387465665,,,
