,open,high,low,close,adj_close,volume,dividend,split_coef
1999-11-01,21.75,24.38,21.75,23.5,0.0448983087970134,1630300.0,0.0,1.0
1999-11-02,23.94,25.13,23.75,25.0,0.0477641582946951,1744800.0,0.0,1.0
1999-11-03,26.0,28.13,25.81,27.44,0.0524259401442574,4191000.0,0.0,1.0
1999-11-04,27.75,29.94,27.75,29.19,0.055769431224886,2625700.0,0.0,1.0
1999-11-05,30.0,30.25,26.88,28.25,0.0539734988730055,1284100.0,0.0,1.0
1999-11-08,27.38,29.88,26.5,29.06,0.0555210576017536,979200.0,0.0,1.0
1999-11-09,29.0,29.13,27.5,28.63,0.0546995140790848,567400.0,0.0,1.0
1999-11-10,28.72,28.75,27.81,28.38,0.0542218724961379,300100.0,0.0,1.0
1999-11-11,28.38,31.88,27.75,30.38,0.0580430051597135,1172300.0,0.0,1.0
1999-11-12,31.69,32.0,29.88,32.0,0.0611381226172097,1044800.0,0.0,1.0
1999-11-15,32.22,33.19,30.88,31.38,0.0599535714915013,754600.0,0.0,1.0
1999-11-16,32.13,35.0,32.0,34.38,0.0656852704868647,1507900.0,0.0,1.0
1999-11-17,35.0,37.5,34.5,35.69,0.0681881123815067,1638300.0,0.0,1.0
1999-11-18,36.44,36.75,35.5,35.81,0.0684173803413213,491600.0,0.0,1.0
1999-11-19,40.13,44.38,40.0,42.88,0.0819250843070611,4510800.0,0.0,1.0
1999-11-22,43.97,44.0,40.25,42.81,0.0817913446638359,1125400.0,0.0,1.0
1999-11-23,38.25,40.19,38.0,39.75,0.0759450116885652,1152600.0,0.0,1.0
1999-11-24,39.56,40.0,35.56,38.5,0.0735568037738305,847600.0,0.0,1.0
1999-11-26,38.13,38.5,37.0,38.25,0.0730791621908835,149500.0,0.0,1.0
1999-11-29,38.13,38.63,36.0,36.88,0.0704616863163342,622100.0,0.0,1.0
1999-11-30,37.0,37.63,34.63,34.63,0.0661629120698117,655600.0,0.0,1.0
